state,academic_year,year,institutions,approved_intake,enrollment,vacancy_pct,fill_rate_pct,period_granularity,synopsis_aligned,source_priority,data_gov_in_resource_id,offline_csv_used,data_source,retrieval_date
Himachal Pradesh,2013-14,2013,33.0,11970.0,7905.0,33.96,66.04,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Himachal Pradesh,2014-15,2014,32.0,11630.0,7470.0,35.77,64.23,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Himachal Pradesh,2015-16,2015,32.0,11240.0,6825.0,39.28,60.72,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Himachal Pradesh,2016-17,2016,31.0,10860.0,6240.0,42.54,57.46,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Jharkhand,2013-14,2013,29.0,10530.0,5775.0,45.16,54.84,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Jharkhand,2014-15,2014,32.0,10530.0,5430.0,48.43,51.57,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Jharkhand,2015-16,2015,32.0,10650.0,5325.0,50.0,50.0,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Jharkhand,2016-17,2016,31.0,10560.0,5160.0,51.14,48.86,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Karnataka,2013-14,2013,208.0,97995.0,73710.0,24.78,75.22,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Karnataka,2014-15,2014,213.0,100020.0,67860.0,32.15,67.85,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Karnataka,2015-16,2015,216.0,99645.0,65040.0,34.73,65.27,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Karnataka,2016-17,2016,217.0,97725.0,64320.0,34.18,65.82,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Kerala,2013-14,2013,151.0,56310.0,32850.0,41.66,58.34,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Kerala,2014-15,2014,152.0,56265.0,30780.0,45.29,54.71,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Kerala,2015-16,2015,148.0,54690.0,28290.0,48.27,51.73,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Kerala,2016-17,2016,140.0,51780.0,26010.0,49.77,50.23,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Madhya Pradesh,2013-14,2013,227.0,91740.0,47190.0,48.56,51.44,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Madhya Pradesh,2014-15,2014,231.0,88110.0,38400.0,56.42,43.58,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Madhya Pradesh,2015-16,2015,228.0,84855.0,35025.0,58.72,41.28,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Madhya Pradesh,2016-17,2016,218.0,81825.0,32310.0,60.51,39.49,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Maharashtra,2013-14,2013,367.0,161580.0,113085.0,30.01,69.99,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Maharashtra,2014-15,2014,376.0,164430.0,99000.0,39.79,60.21,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Maharashtra,2015-16,2015,374.0,161730.0,92280.0,42.94,57.06,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Maharashtra,2016-17,2016,369.0,158475.0,88860.0,43.93,56.07,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Manipur,2013-14,2013,3.0,870.0,600.0,31.03,68.97,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Manipur,2014-15,2014,4.0,1050.0,720.0,31.43,68.57,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Manipur,2015-16,2015,4.0,1080.0,720.0,33.33,66.67,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Manipur,2016-17,2016,4.0,1080.0,720.0,33.33,66.67,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Meghalaya,2013-14,2013,3.0,800.0,540.0,32.5,67.5,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Meghalaya,2014-15,2014,3.0,870.0,540.0,37.93,62.07,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Meghalaya,2015-16,2015,3.0,870.0,540.0,37.93,62.07,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Meghalaya,2016-17,2016,3.0,870.0,540.0,37.93,62.07,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Mizoram,2013-14,2013,1.0,240.0,165.0,31.25,68.75,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Mizoram,2014-15,2014,1.0,240.0,150.0,37.5,62.5,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Mizoram,2015-16,2015,1.0,240.0,150.0,37.5,62.5,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Mizoram,2016-17,2016,1.0,240.0,150.0,37.5,62.5,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Nagaland,2013-14,2013,2.0,360.0,270.0,25.0,75.0,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Nagaland,2014-15,2014,2.0,420.0,285.0,32.14,67.86,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Nagaland,2015-16,2015,2.0,420.0,285.0,32.14,67.86,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Nagaland,2016-17,2016,2.0,420.0,285.0,32.14,67.86,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Odisha,2013-14,2013,104.0,50880.0,25260.0,50.35,49.65,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Odisha,2014-15,2014,104.0,51945.0,22650.0,56.4,43.6,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Odisha,2015-16,2015,101.0,50115.0,19890.0,60.31,39.69,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Odisha,2016-17,2016,95.0,46815.0,17880.0,61.81,38.19,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Punjab,2013-14,2013,110.0,46140.0,21855.0,52.63,47.37,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Punjab,2014-15,2014,113.0,46350.0,17460.0,62.33,37.67,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Punjab,2015-16,2015,108.0,44070.0,14820.0,66.37,33.63,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Punjab,2016-17,2016,96.0,39060.0,12870.0,67.05,32.95,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Rajasthan,2013-14,2013,153.0,77400.0,37500.0,51.55,48.45,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Rajasthan,2014-15,2014,151.0,75450.0,26850.0,64.41,35.59,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Rajasthan,2015-16,2015,135.0,67065.0,22275.0,66.79,33.21,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Rajasthan,2016-17,2016,130.0,64020.0,19500.0,69.54,30.46,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Sikkim,2013-14,2013,4.0,870.0,480.0,44.83,55.17,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Sikkim,2014-15,2014,4.0,870.0,510.0,41.38,58.62,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Sikkim,2015-16,2015,4.0,870.0,510.0,41.38,58.62,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Sikkim,2016-17,2016,4.0,870.0,510.0,41.38,58.62,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Tamil Nadu,2013-14,2013,566.0,270960.0,184725.0,31.83,68.17,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Tamil Nadu,2014-15,2014,568.0,273510.0,169200.0,38.14,61.86,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Tamil Nadu,2015-16,2015,557.0,268365.0,153165.0,42.93,57.07,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Tamil Nadu,2016-17,2016,548.0,263325.0,142905.0,45.73,54.27,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Telangana,2013-14,2013,333.0,158595.0,99240.0,37.43,62.57,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Telangana,2014-15,2014,333.0,159630.0,89730.0,43.79,56.21,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Telangana,2015-16,2015,323.0,153810.0,87285.0,43.25,56.75,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Telangana,2016-17,2016,315.0,149085.0,85170.0,42.87,57.13,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Tripura,2013-14,2013,3.0,700.0,420.0,40.0,60.0,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Tripura,2014-15,2014,3.0,700.0,420.0,40.0,60.0,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Tripura,2015-16,2015,3.0,700.0,420.0,40.0,60.0,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Tripura,2016-17,2016,3.0,700.0,420.0,40.0,60.0,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Uttar Pradesh,2013-14,2013,361.0,178455.0,89055.0,50.1,49.9,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Uttar Pradesh,2014-15,2014,369.0,181440.0,75300.0,58.5,41.5,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Uttar Pradesh,2015-16,2015,357.0,173460.0,64995.0,62.53,37.47,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Uttar Pradesh,2016-17,2016,321.0,158400.0,56895.0,64.08,35.92,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Uttarakhand,2013-14,2013,54.0,22260.0,11805.0,46.97,53.03,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Uttarakhand,2014-15,2014,53.0,22020.0,9435.0,57.15,42.85,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Uttarakhand,2015-16,2015,51.0,21210.0,8025.0,62.16,37.84,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
Uttarakhand,2016-17,2016,47.0,19890.0,7065.0,64.48,35.52,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
West Bengal,2013-14,2013,104.0,41310.0,28425.0,31.19,68.81,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
West Bengal,2014-15,2014,105.0,41940.0,26730.0,36.27,63.73,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
West Bengal,2015-16,2015,103.0,41940.0,26010.0,37.98,62.02,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
West Bengal,2016-17,2016,102.0,41310.0,25140.0,39.14,60.86,annual,True,P1,57cf415f-00d7-4ef0-94d5-62b7e5743b1c,True,AICTE_Handbook_offline_mirror,2026-05-09
